SampleID,Trial,Order,MilkSource,PoreSize,Day,MilkType,StorageTemp,pH,ParticleSize,Coagulated,CompMethod,Fat,Protein,Lactose,TS,SnF,FreezePt,pumptype,bottlenum,SCC,GramNeg
MF4-1.2-Whole-D28-3C,4,2,UPS,1.2,28,whole,3,6.8,laberror,,,,,,,,,,,,KEEP
MF-2-1.2-Skim-D56-10C,2,2,UPS,1.2,56,skim,10,6.66,1208.7,TRUE,,,,,,,,,,,KEEP
MF3-0.8-Whole-D35-10C,3,2,UPS,0.8,35,whole,10,6.4,626.5,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D49-3C,2,2,UPS,1.2,49,whole,3,6.68,602.7,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D35-10C,3,2,UPS,0.8,35,whole,10,6.42,559.6,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D7-10C,4,2,UPS,1.2,7,whole,10,6.68,559,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D49-3C,3,2,UPS,0.8,49,whole,3,6.73,555,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-10C,3,1,UPS,1.2,56,whole,10,6.54,551.7,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-10C,4,2,UPS,1.2,63,whole,10,5.71,551.7,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D7-10C,4,2,UPS,1.2,7,whole,10,6.68,530,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D42-10C,3,1,UPS,1.2,42,whole,10,6.71,515.8,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-6.5C,3,2,UPS,0.8,56,whole,6.5,6.77,509.7,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-6.5C,4,1,UPS,0.8,63,whole,6.5,5.74,509.7,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D49-6.5C,3,2,UPS,0.8,49,whole,6.5,6.7,504.7,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-10C,3,1,UPS,1.2,56,whole,10,6.56,503,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-10C,4,2,UPS,1.2,63,whole,10,5.68,503,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-3C,3,2,UPS,0.8,56,whole,3,6.81,499.7,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-3C,4,1,UPS,0.8,63,whole,3,6.65,499.7,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-3C,3,2,UPS,0.8,56,whole,3,6.79,498.2,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-3C,4,1,UPS,0.8,63,whole,3,6.66,498.2,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-6.5C,3,2,UPS,0.8,56,whole,6.5,6.79,481.8,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-6.5C,4,1,UPS,0.8,63,whole,6.5,5.73,481.8,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D49-3C,2,1,UPS,0.8,49,whole,3,6.67,479.4,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D49-6.5C,3,1,UPS,1.2,49,whole,6.5,6.74,474.2,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D49-6.5C,2,1,UPS,0.8,49,whole,6.5,6.58,471.3,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D56-10C,4,2,UPS,1.2,56,whole,10,6.16,470.5,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D42-6.5C,2,1,UPS,0.8,42,whole,6.5,6.73,466.7,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D42-10C,3,1,UPS,1.2,42,whole,10,6.7,459.9,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D56-10C,3,1,UPS,1.2,56,whole,10,5.64,452,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D42-3C,2,1,UPS,0.8,42,whole,3,6.75,448.6,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D56-6.5C,2,2,UPS,1.2,56,whole,6.5,6.67,447.9,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D49-6.5C,3,1,UPS,1.2,49,whole,6.5,6.74,445.5,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-3C,3,1,UPS,1.2,56,whole,3,6.84,432.2,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-3C,4,2,UPS,1.2,63,whole,3,6.65,432.2,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D42-6.5C,3,1,UPS,1.2,42,whole,6.5,6.84,430.9,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D35-10C,3,1,UPS,1.2,35,whole,10,6.82,430.7,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D49-6.5C,3,2,UPS,0.8,49,whole,6.5,6.7,430.6,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D56-10C,2,2,UPS,1.2,56,whole,10,6.17,430.4,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D35-3C,2,2,UPS,1.2,35,whole,3,6.82,428.6,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-3C,3,1,UPS,1.2,56,whole,3,6.86,426.6,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-3C,4,2,UPS,1.2,63,whole,3,6.66,426.6,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D56-10C,4,2,UPS,1.2,56,whole,10,6.19,425.2,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D56-10C,3,1,UPS,1.2,56,whole,10,5.63,421.5,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D56-3C,4,1,UPS,0.8,56,whole,3,6.68,420,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D49-3C,3,1,UPS,1.2,49,whole,3,6.76,418.8,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D42-6.5C,3,2,UPS,0.8,42,whole,6.5,6.85,417.9,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D49-3C,3,1,UPS,1.2,49,whole,3,6.74,417.5,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D56-6.5C,3,1,UPS,1.2,56,whole,6.5,6.79,415.5,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D35-10C,3,1,UPS,1.2,35,whole,10,6.82,413.2,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D49-3C,3,2,UPS,0.8,49,whole,3,6.74,409,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D42-6.5C,2,1,UPS,0.8,42,whole,6.5,6.74,406,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D56-6.5C,3,2,UPS,0.8,56,whole,6.5,6.74,406,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D56-6.5C,2,1,UPS,0.8,56,whole,6.5,6.67,405.8,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D42-3C,3,1,UPS,1.2,42,whole,3,6.88,404.6,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D56-10C,3,2,UPS,0.8,56,whole,10,6.09,404.3,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D42-6.5C,3,1,UPS,1.2,42,whole,6.5,6.84,403.4,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D56-3C,2,1,UPS,0.8,56,whole,3,6.7,401.9,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D49-6.5C,4,1,UPS,0.8,49,whole,6.5,5.78,400.8,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D56-3C,4,1,UPS,0.8,56,whole,3,6.67,400.7,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D56-6.5C,4,1,UPS,0.8,56,whole,6.5,6.66,400.7,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D42-3C,2,1,UPS,0.8,42,whole,3,6.72,400.4,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D28-10C,4,2,UPS,1.2,28,whole,10,5.76,398.4,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D28-6.5C,3,1,UPS,1.2,28,whole,6.5,6.75,396.8,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D49-6.5C,4,1,UPS,0.8,49,whole,6.5,5.78,395,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D49-10C,3,1,UPS,1.2,49,whole,10,6.2,392.3,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D28-6.5C,3,1,UPS,1.2,28,whole,6.5,6.74,391.8,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D28-10C,3,1,UPS,1.2,28,whole,10,6.71,391.6,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D63-6.5C,2,2,UPS,1.2,63,whole,6.5,6.7,389.8,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D63-6.5C,2,2,UPS,1.2,63,whole,6.5,6.72,388.6,,,,,,,,,,,,KEEP
MF1-1.2-63-HTST-Whole-10,1,1,LS,1.2,63,whole,10,6.69,386.9,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D63-10C,2,2,UPS,1.2,63,whole,10,6.27,386.1,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D49-10C,3,1,UPS,1.2,49,whole,10,6.19,385.9,,,,,,,,,,,,KEEP
MF1-1.2-56-HTST-Whole-10,1,1,LS,1.2,56,whole,10,6.73,385.8,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D49-6.5C,2,2,UPS,1.2,49,whole,6.5,6.68,385,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D28-3C,3,1,UPS,1.2,28,whole,3,6.72,383.2,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D42-6.5C,3,2,UPS,0.8,42,whole,6.5,6.83,382.3,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D56-6.5C,3,1,UPS,1.2,56,whole,6.5,6.78,377.9,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D56-6.5C,3,2,UPS,0.8,56,whole,6.5,6.74,377.6,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D28-6.5C,3,2,UPS,0.8,28,whole,6.5,6.7,377.2,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D56-6.5C,4,1,UPS,0.8,56,whole,6.5,6.67,375.8,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D21-10C,3,2,UPS,0.8,21,whole,10,6.52,375.5,,,,,,,,,,,,KEEP
MF1-1.2-49-HTST-Whole-3,1,1,LS,1.2,49,whole,3,6.92,375.5,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D28-10C,3,1,UPS,1.2,28,whole,10,6.72,374.4,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D42-3C,3,1,UPS,1.2,42,whole,3,6.87,372.8,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D56-3C,3,2,UPS,0.8,56,whole,3,6.8,371.4,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D56-10C,3,2,UPS,0.8,56,whole,10,6.08,371.2,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D28-3C,3,2,UPS,0.8,28,whole,3,6.7,369.7,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D35-3C,3,1,UPS,1.2,35,whole,3,6.73,368.1,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D56-10C,4,1,UPS,0.8,56,whole,10,5.64,367.2,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-6.5C,3,1,UPS,1.2,56,whole,6.5,6.77,367,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-6.5C,4,2,UPS,1.2,63,whole,6.5,6.66,367,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D49-3C,4,1,UPS,0.8,49,whole,3,6.68,365.7,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D35-10C,4,1,UPS,0.8,35,whole,10,5.69,365.5,,,,,,,,,,,,KEEP
MF1-1.2-56-HTST-Whole-6.5,1,1,LS,1.2,56,whole,6.5,6.7,365.2,,,,,,,,,,,,KEEP
MF1-1.2-63-HTST-Whole-10,1,1,LS,1.2,63,whole,10,6.7,363.8,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D28-3C,3,1,UPS,1.2,28,whole,3,6.72,363.4,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D35-6.5C,2,2,UPS,1.2,35,whole,6.5,6.74,363.3,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D42-3C,3,2,UPS,0.8,42,whole,3,6.82,363,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D42-6.5C,4,1,UPS,0.8,42,whole,6.5,6.73,362.7,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D56-6.5C,4,2,UPS,1.2,56,whole,6.5,6.62,362.4,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D35-6.5C,3,1,UPS,1.2,35,whole,6.5,6.7,361.6,,,,,,,,,,,,KEEP
MF1-1.2-49-HTST-Whole-10,1,1,LS,1.2,49,whole,10,6.81,361.4,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D42-3C,3,2,UPS,0.8,42,whole,3,6.83,360,,,,,,,,,,,,KEEP
MF3-1.2-Whole-14-6.5C,3,1,UPS,1.2,14,whole,6.5,6.7,359.7,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D28-6.5C,3,2,UPS,0.8,28,whole,6.5,6.69,359.1,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-6.5C,3,1,UPS,1.2,56,whole,6.5,6.78,357.7,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D63-6.5C,4,2,UPS,1.2,63,whole,6.5,6.66,357.7,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D35-6.5C,3,1,UPS,1.2,35,whole,6.5,6.71,357.6,,,,,,,,,,,,KEEP
MF1-1.2-21-HTST-Whole-10,1,1,LS,1.2,21,whole,10,6.78,355.7,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D56-3C,3,2,UPS,0.8,56,whole,3,6.8,355.5,,,,,,,,,,,,KEEP
MF1-1.2-56-HTST-Whole-3,1,1,LS,1.2,56,whole,3,6.7,355.4,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D28-6.5C,2,1,UPS,0.8,28,whole,6.5,6.73,355.2,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D56-3C,3,1,UPS,1.2,56,whole,3,6.81,355.2,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D21-10C,3,2,UPS,0.8,21,whole,10,6.52,353.4,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D35-6.5C,4,2,UPS,1.2,35,whole,6.5,6.67,351.3,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D49-3C,4,1,UPS,0.8,49,whole,3,6.69,350.9,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D28-3C,3,2,UPS,0.8,28,whole,3,6.7,350.5,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D56-3C,3,1,UPS,1.2,56,whole,3,6.81,349.6,,,,,,,,,,,,KEEP
MF1-1.2-63-HTST-Whole-3,1,1,LS,1.2,63,whole,3,6.6,349.3,,,,,,,,,,,,KEEP
MF3-0.8-Whole-14-10C,3,2,UPS,0.8,14,whole,10,6.63,348.9,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D35-6.5C,4,2,UPS,1.2,35,whole,6.5,6.65,348.7,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D56-3C,2,2,UPS,1.2,56,whole,3,6.68,348.6,,,,,,,,,,,,KEEP
MF1-1.2-56-HTST-Whole-10,1,1,LS,1.2,56,whole,10,6.72,347.7,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D35-10C,4,1,UPS,0.8,35,whole,10,5.7,347.7,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D14-10C,4,2,UPS,1.2,14,whole,10,6.72,347.3,,,,,,,,,,,,KEEP
MF1-1.2-49-HTST-Whole-3,1,1,LS,1.2,49,whole,3,6.9,346.1,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D35-3C,3,1,UPS,1.2,35,whole,3,6.71,345.8,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D28-6.5C,4,2,UPS,1.2,28,whole,6.5,6.78,344.5,,,,,,,,,,,,KEEP
MF3-0.8-Whole-14-10C,3,2,UPS,0.8,14,whole,10,6.62,344.3,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D49-6.5C,4,2,UPS,1.2,49,whole,6.5,6.68,344,,,,,,,,,,,,KEEP
MF1-1.2-28-HTST-Whole-6.5,1,1,LS,1.2,28,whole,6.5,6.76,343.5,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D49-3C,4,2,UPS,1.2,49,whole,3,6.7,342.7,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D35-6.5C,2,2,UPS,1.2,35,whole,6.5,6.76,342.4,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D42-6.5C,4,1,UPS,0.8,42,whole,6.5,6.71,342.3,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D49-6.5C,4,2,UPS,1.2,49,whole,6.5,6.68,341.2,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D63-3C,2,2,UPS,1.2,63,whole,3,6.71,340.8,,,,,,,,,,,,KEEP
MF1-1.2-56-HTST-Whole-6.5,1,1,LS,1.2,56,whole,6.5,6.69,340.6,,,,,,,,,,,,KEEP
MF1-1.2-21-HTST-Whole-3,1,1,LS,1.2,21,whole,3,6.83,340.4,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D28-10C,4,1,UPS,0.8,28,whole,10,6.7,340.1,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D63-10C,2,2,UPS,1.2,63,whole,10,6.26,340,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D35-3C,3,2,UPS,0.8,35,whole,3,6.74,340,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D63-6.5C,2,1,UPS,0.8,63,whole,6.5,6.62,339.9,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D21-6.5C,3,2,UPS,0.8,21,whole,6.5,6.7,339.9,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D35-6.5C,2,1,UPS,0.8,35,whole,6.5,6.79,339.6,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D21-6.5C,3,2,UPS,0.8,21,whole,6.5,6.7,339.5,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D28-6.5C,2,2,UPS,1.2,28,whole,6.5,6.73,338.9,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D63-3C,2,1,UPS,0.8,63,whole,3,6.72,338.4,,,,,,,,,,,,KEEP
MF3-1.2-Whole-14-3C,3,1,UPS,1.2,14,whole,3,6.69,338,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D21-3C,3,2,UPS,0.8,21,whole,3,6.67,337.9,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D35-3C,3,2,UPS,0.8,35,whole,3,6.73,337.9,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D35-3C,4,2,UPS,1.2,35,whole,3,6.66,337.8,,,,,,,,,,,,KEEP
MF1-1.2-49-HTST-Whole-6.5,1,1,LS,1.2,49,whole,6.5,6.79,337.1,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D28-10C,3,2,UPS,0.8,28,whole,10,6.53,335.5,,,,,,,,,,,,KEEP
MF1-1.2-28-HTST-Whole-10,1,1,LS,1.2,28,whole,10,6.69,335.3,,,,,,,,,,,,KEEP
MF1-1.2-42-HTST-Whole-6.5,1,1,LS,1.2,42,whole,6.5,6.72,335.2,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D14-6.5C,2,1,UPS,0.8,14,whole,6.5,6.72,335.2,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D14-10C,4,2,UPS,1.2,14,whole,10,6.72,335.1,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D35-10C,4,2,UPS,1.2,35,whole,10,6.65,335.1,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D28-10C,4,2,UPS,1.2,28,whole,10,5.78,334.8,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D14-6.5C,4,2,UPS,1.2,14,whole,6.5,6.69,334.6,,,,,,,,,,,,KEEP
MF1-1.2-42-HTST-Whole-6.5,1,1,LS,1.2,42,whole,6.5,6.72,334.5,,,,,,,,,,,,KEEP
MF-3-0.8-Whole-D7-3C,3,2,UPS,0.8,7,whole,3,6.65,334.4,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D35-6.5C,3,2,UPS,0.8,35,whole,6.5,6.71,334.2,,,,,,,,,,,,KEEP
MF1-1.2-49-HTST-Whole-6.5,1,1,LS,1.2,49,whole,6.5,6.76,333.7,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D63-3C,2,2,UPS,1.2,63,whole,3,6.7,333.6,,,,,,,,,,,,KEEP
MF3-0.8-Whole-14-6.5C,3,2,UPS,0.8,14,whole,6.5,6.68,333.3,,,,,,,,,,,,KEEP
MF1-1.2-28-HTST-Whole-6.5,1,1,LS,1.2,28,whole,6.5,6.74,333.1,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D28-10C,3,2,UPS,0.8,28,whole,10,6.54,332.1,,,,,,,,,,,,KEEP
MF-3-0.8-Whole-D7-6.5C,3,2,UPS,0.8,7,whole,6.5,6.67,331.6,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D14-3C,2,1,UPS,0.8,14,whole,3,6.68,330.8,,,,,,,,,,,,KEEP
MF3-1.2-Whole-14-6.5C,3,1,UPS,1.2,14,whole,6.5,6.69,330.4,,,,,,,,,,,,KEEP
MF1-1.2-21-HTST-Whole-6.5,1,1,LS,1.2,21,whole,6.5,6.78,329.6,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D49-3C,4,2,UPS,1.2,49,whole,3,6.71,329.5,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D35-6.5C,4,1,UPS,0.8,35,whole,6.5,6.69,329.1,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D35-6.5C,4,1,UPS,0.8,35,whole,6.5,6.7,328.7,,,,,,,,,,,,KEEP
MF1-1.2-35-HTST-Whole-6.5,1,1,LS,1.2,35,whole,6.5,,328.6,,,,,,,,,,,,KEEP
MF1-1.2-63-HTST-Whole-6.5,1,1,LS,1.2,63,whole,6.5,6.68,328.6,,,,,,,,,,,,KEEP
MF-3-1.2-Whole-D7-3C,3,1,UPS,1.2,7,whole,3,6.66,328.6,,,,,,,,,,,,KEEP
MF1-1.2-63-HTST-Whole-3,1,1,LS,1.2,63,whole,3,6.61,327.8,,,,,,,,,,,,KEEP
MF1-1.2-49-HTST-Whole-10,1,1,LS,1.2,49,whole,10,6.78,327.7,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D56-6.5C,4,2,UPS,1.2,56,whole,6.5,6.63,327.4,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D42-3C,4,1,UPS,0.8,42,whole,3,6.73,326.9,,,,,,,,,,,,KEEP
MF-3-0.8-Whole-D7-10C,3,2,UPS,0.8,7,whole,10,6.65,326.9,,,,,,,,,,,,KEEP
MF1-1.2-28-HTST-Whole-10,1,1,LS,1.2,28,whole,10,6.72,326.8,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D42-6.5C,2,2,UPS,1.2,42,whole,6.5,6.43,1079.9,TRUE,,,,,,,,,,,PPC
MF-2-0.8-Whole-D35-10C,2,1,UPS,0.8,35,whole,10,6.5,1224.8,TRUE,,,,,,,,,,,KEEP
MF4-0.8-Whole-D28-6.5C,4,1,UPS,0.8,28,whole,6.5,6.79,326.7,,,,,,,,,,,,KEEP
MF1-1.2-21-HTST-Whole-3,1,1,LS,1.2,21,whole,3,6.81,326.1,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D14-6.5C,4,1,UPS,0.8,14,whole,6.5,6.73,326.1,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D14-6.5C,2,1,UPS,0.8,14,whole,6.5,6.71,325.4,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D21-3C,3,2,UPS,0.8,21,whole,3,6.69,325,,,,,,,,,,,,KEEP
