SampleID,Trial,Order,MilkSource,PoreSize,Day,MilkType,StorageTemp,pH,ParticleSize,Coagulated,CompMethod,Fat,Protein,Lactose,TS,SnF,FreezePt,pumptype,bottlenum,SCC,GramNeg
MF4-0.8-Whole-D56-10C,4,1,UPS,0.8,56,whole,10,5.64,325,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D35-6.5C,3,2,UPS,0.8,35,whole,6.5,6.72,324.6,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D14-6.5C,4,2,UPS,1.2,14,whole,6.5,6.7,324.6,,,,,,,,,,,,KEEP
MF1-1.2-42-HTST-Whole-3,1,1,LS,1.2,42,whole,3,6.9,324.3,,,,,,,,,,,,KEEP
MF1-1.2-42-HTST-Whole-3,1,1,LS,1.2,42,whole,3,6.88,323.7,,,,,,,,,,,,KEEP
MF-3-0.8-Whole-D7-3C,3,2,UPS,0.8,7,whole,3,6.65,323.6,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D28-6.5C,4,2,UPS,1.2,28,whole,6.5,6.78,323.5,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D28-3C,2,1,UPS,0.8,28,whole,3,6.72,323.4,,,,,,,,,,,,KEEP
MF1-1.2-21-HTST-Whole-10,1,1,LS,1.2,21,whole,10,6.77,323.3,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D42-3C,4,2,UPS,1.2,42,whole,3,6.74,322.5,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D42-3C,4,2,UPS,1.2,42,whole,3,6.74,322.3,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D35-6.5C,2,1,UPS,0.8,35,whole,6.5,6.78,322,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D21-6.5C,3,1,UPS,1.2,21,whole,6.5,6.69,321.8,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D14-3C,2,1,UPS,0.8,14,whole,3,6.69,321.7,,,,,,,,,,,,KEEP
MF1-1.2-21-HTST-Whole-6.5,1,1,LS,1.2,21,whole,6.5,6.78,321.5,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D21-3C,3,1,UPS,1.2,21,whole,3,6.69,320.3,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D35-3C,2,1,UPS,0.8,35,whole,3,6.74,320.2,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D7-6.5C,4,1,UPS,0.8,7,whole,6.5,6.85,320,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D35-3C,2,1,UPS,0.8,35,whole,3,6.75,319.6,,,,,,,,,,,,KEEP
MF1-1.2-28-HTST-Whole-3,1,1,LS,1.2,28,whole,3,6.8,319.5,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D35-3C,4,2,UPS,1.2,35,whole,3,6.66,318.8,,,,,,,,,,,,KEEP
MF3-0.8-Skim-D42-10C,3,2,UPS,0.8,42,skim,10,6.89,318.7,,,,,,,,,,,,PPC
MF-2-1.2-Whole-D14-10C,2,2,UPS,1.2,14,whole,10,6.03,317.8,,,,,,,,,,,,KEEP
MF1-1.2-28-HTST-Whole-3,1,1,LS,1.2,28,whole,3,6.83,317.6,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D42-10C,4,1,UPS,0.8,42,whole,10,6.03,317.5,,,,,,,,,,,,KEEP
MF3-0.8-Whole-14-3C,3,2,UPS,0.8,14,whole,3,6.65,317.4,,,,,,,,,,,,KEEP
MF3-1.2-Whole-14-3C,3,1,UPS,1.2,14,whole,3,6.69,317.3,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D28-10C,4,1,UPS,0.8,28,whole,10,6.72,316.7,,,,,,,,,,,,KEEP
MF3-0.8-Skim-D42-10C,3,2,UPS,0.8,42,skim,10,6.89,316.1,,,,,,,,,,,,PPC
MF1-1.2-42-HTST-Whole-10,1,1,LS,1.2,42,whole,10,6.41,315.9,,,,,,,,,,,,PPC
MF4-1.2-Whole-D35-10C,4,2,UPS,1.2,35,whole,10,6.65,315.9,,,,,,,,,,,,KEEP
MF1-1.2-35-HTST-Whole-10,1,1,LS,1.2,35,whole,10,,315.3,,,,,,,,,,,,KEEP
MF3-0.8-Whole-14-3C,3,2,UPS,0.8,14,whole,3,6.65,315,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D7-6.5C,4,1,UPS,0.8,7,whole,6.5,6.85,315,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D28-3C,2,2,UPS,1.2,28,whole,3,6.7,314.4,,,,,,,,,,,,KEEP
MF1-1.2-56-HTST-Whole-3,1,1,LS,1.2,56,whole,3,6.71,314.3,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D42-3C,4,1,UPS,0.8,42,whole,3,6.72,314.2,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D0,4,2,UPS,1.2,0,whole,3,6.7,314,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D0,4,2,UPS,1.2,0,whole,6.5,6.7,314,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D0,4,2,UPS,1.2,0,whole,10,6.7,314,,,,,,,,,,,,KEEP
MF1-1.2-63-HTST-Whole-6.5,1,1,LS,1.2,63,whole,6.5,6.68,313.6,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D21-10C,3,1,UPS,1.2,21,whole,10,6.68,312.9,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D21-3C,2,1,UPS,0.8,21,whole,3,6.71,312.6,,,,,,,,,,,,KEEP
MF3-0.8-Whole-14-6.5C,3,2,UPS,0.8,14,whole,6.5,6.68,312.2,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D7-3C,2,1,UPS,0.8,7,whole,3,6.75,311.3,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D28-3C,2,1,UPS,0.8,28,whole,3,6.75,311.3,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D21-10C,4,2,UPS,1.2,21,whole,10,6.67,311.3,,,,,,,,,,,,KEEP
MF3-1.2-Whole-14-10C,3,1,UPS,1.2,14,whole,10,6.69,311.2,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D28-3C,4,1,UPS,0.8,28,whole,3,6.78,311.1,,,,,,,,,,,,KEEP
MF-3-0.8-Whole-D7-10C,3,2,UPS,0.8,7,whole,10,6.65,310.9,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D21-3C,4,2,UPS,1.2,21,whole,3,6.77,309.5,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D14-6.5C,4,1,UPS,0.8,14,whole,6.5,6.73,309.3,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D21-10C,3,1,UPS,1.2,21,whole,10,6.67,308.5,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D0,4,1,UPS,0.8,0,whole,3,6.68,307.3,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D0,4,1,UPS,0.8,0,whole,6.5,6.68,307.3,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D0,4,1,UPS,0.8,0,whole,10,6.68,307.3,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D14-3C,4,1,UPS,0.8,14,whole,3,6.74,307,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D21-10C,2,2,UPS,1.2,21,whole,10,6.72,306.9,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D7-6.5C,2,1,UPS,0.8,7,whole,6.5,6.77,306.7,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D21-3C,4,1,UPS,0.8,21,whole,3,6.76,306.6,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D28-6.5C,4,1,UPS,0.8,28,whole,6.5,6.79,306.6,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D21-6.5C,4,2,UPS,1.2,21,whole,6.5,6.75,305.8,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D7-3C,2,1,UPS,0.8,7,whole,3,6.78,305.6,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D14-3C,4,2,UPS,1.2,14,whole,3,6.71,305.3,,,,,,,,,,,,KEEP
MF-3-1.2-Whole-D7-3C,3,1,UPS,1.2,7,whole,3,6.66,305.2,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D7-10C,2,2,UPS,1.2,7,whole,10,6.82,305.1,,,,,,,,,,,,KEEP
1-14-1.2-whole-HTST-3,1,1,LS,1.2,14,whole,3,6.66,305,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D21-10C,4,1,UPS,0.8,21,whole,10,6.69,304.9,,,,,,,,,,,,KEEP
MF3-1.2-Whole-D21-3C,3,1,UPS,1.2,21,whole,3,6.69,304.8,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D42-10C,4,1,UPS,0.8,42,whole,10,6.03,304.2,,,,,,,,,,,,KEEP
MF-1-1.2-7-Whole-HTST-10,1,1,LS,1.2,7,whole,10,6.7,303.6,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D28-3C,2,2,UPS,1.2,28,whole,3,6.71,303.6,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D7-3C,4,1,UPS,0.8,7,whole,3,6.84,303.5,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D21-10C,4,1,UPS,0.8,21,whole,10,6.7,303.4,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D7-10C,2,2,UPS,1.2,7,whole,10,6.84,302.4,,,,,,,,,,,,KEEP
1-14-1.2-whole-HTST-6.5,1,1,LS,1.2,14,whole,6.5,6.65,302.3,,,,,,,,,,,,KEEP
MF-1-1.2-7-Whole-HTST-6.5,1,1,LS,1.2,7,whole,6.5,6.72,302.2,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D21-3C,2,1,UPS,0.8,21,whole,3,6.69,301.7,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D21-6.5C,2,1,UPS,0.8,21,whole,6.5,6.72,301.5,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D14-3C,4,2,UPS,1.2,14,whole,3,6.71,301.3,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D21-6.5C,4,1,UPS,0.8,21,whole,6.5,6.76,301.3,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D42-10C,3,2,UPS,0.8,42,whole,10,5.6,1321.5,TRUE,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D63-10C,2,1,UPS,0.8,63,whole,10,6.47,1334.4,TRUE,,,,,,,,,,,KEEP
MF4-0.8-Whole-D14-3C,4,1,UPS,0.8,14,whole,3,6.74,301.1,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D28-3C,4,1,UPS,0.8,28,whole,3,6.79,300.8,,,,,,,,,,,,KEEP
MF3-0.8-Whole-D42-10C,3,2,UPS,0.8,42,whole,10,5.59,1334.8,TRUE,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D21-10C,2,1,UPS,0.8,21,whole,10,6.49,1412.8,TRUE,,,,,,,,,,,KEEP
MF-3-0.8-Whole-D7-6.5C,3,2,UPS,0.8,7,whole,6.5,6.67,300.5,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D21-3C,4,2,UPS,1.2,21,whole,3,6.76,300.5,,,,,,,,,,,,KEEP
1-14-1.2-whole-HTST-3,1,1,LS,1.2,14,whole,3,6.65,298.5,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D7-3C,4,1,UPS,0.8,7,whole,3,6.85,298.5,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D49-10C,4,1,UPS,0.8,49,whole,10,5.98,298.2,,,,,,,,,,,,KEEP
MF-1-1.2-7-Whole-HTST-3,1,1,LS,1.2,7,whole,3,6.73,298.1,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D0,4,2,UPS,1.2,0,whole,3,6.69,297.8,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D0,4,2,UPS,1.2,0,whole,6.5,6.69,297.8,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D0,4,2,UPS,1.2,0,whole,10,6.69,297.8,,,,,,,,,,,,KEEP
MF-1-1.2-7-Whole-HTST-6.5,1,1,LS,1.2,7,whole,6.5,6.74,297.7,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D21-6.5C,2,1,UPS,0.8,21,whole,6.5,6.71,297.5,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D56-3C,4,2,UPS,1.2,56,whole,3,6.66,297.4,,,,,,,,,,,,KEEP
MF1-1.2-35-HTST-Whole-3,1,1,LS,1.2,35,whole,3,,297.3,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D21-3C,4,1,UPS,0.8,21,whole,3,6.76,296.7,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D0,4,1,UPS,0.8,0,whole,3,6.7,296.6,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D0,4,1,UPS,0.8,0,whole,6.5,6.7,296.6,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D0,4,1,UPS,0.8,0,whole,10,6.7,296.6,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D21-6.5C,2,2,UPS,1.2,21,whole,6.5,6.73,295.4,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D28-10C,2,1,UPS,0.8,28,whole,10,6.52,1476.3,TRUE,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D35-10C,2,2,UPS,1.2,35,whole,10,6.48,1579.1,TRUE,,,,,,,,,,,KEEP
MF3-1.2-Whole-14-10C,3,1,UPS,1.2,14,whole,10,6.68,295.1,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D21-6.5C,2,2,UPS,1.2,21,whole,6.5,6.73,294.6,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D28-10C,2,1,UPS,0.8,28,whole,10,6.48,1590.4,TRUE,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D42-6.5C,2,2,UPS,1.2,42,whole,6.5,6.44,1597.4,TRUE,,,,,,,,,,,PPC
1-14-1.2-whole-HTST-6.5,1,1,LS,1.2,14,whole,6.5,6.65,294.1,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D28-10C,2,2,UPS,1.2,28,whole,10,6.67,293.9,,,,,,,,,,,,KEEP
MF1-1.2-35-HTST-Whole-3,1,1,LS,1.2,35,whole,3,,293.8,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D28-10C,2,2,UPS,1.2,28,whole,10,6.66,293.4,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D7-6.5C,4,2,UPS,1.2,7,whole,6.5,6.81,292.3,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D21-6.5C,4,1,UPS,0.8,21,whole,6.5,6.74,292.3,,,,,,,,,,,,KEEP
MF1-1.2-42-HTST-Whole-10,1,1,LS,1.2,42,whole,10,6.41,291.7,,,,,,,,,,,,PPC
MF4-1.2-Whole-D28-3C,4,2,UPS,1.2,28,whole,3,6.81,291.5,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D14-10C,2,2,UPS,1.2,14,whole,10,6.03,291.4,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D42-3C,2,2,UPS,1.2,42,whole,3,6.7,291,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D63-6.5C,2,1,UPS,0.8,63,whole,6.5,6.61,290.7,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D28-6.5C,2,2,UPS,1.2,28,whole,6.5,6.73,290.4,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D14-3C,2,2,UPS,1.2,14,whole,3,6.74,289.9,,,,,,,,,,,,KEEP
MF-3-1.2-Whole-D0-na,3,1,UPS,1.2,0,whole,3,6.72,289,,,,,,,,,,,,KEEP
MF-3-1.2-Whole-D0-na,3,1,UPS,1.2,0,whole,6.5,6.72,289,,,,,,,,,,,,KEEP
MF-3-1.2-Whole-D0-na,3,1,UPS,1.2,0,whole,10,6.72,289,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D7-3C,4,2,UPS,1.2,7,whole,3,6.81,289,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D21-10C,2,2,UPS,1.2,21,whole,10,6.7,288.9,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D14-10C,2,1,UPS,0.8,14,whole,10,6.51,1674.9,TRUE,,,,,,,,,,,KEEP
1-14-1.2-whole-HTST-10,1,1,LS,1.2,14,whole,10,6.54,1698.6,TRUE,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D21-10C,2,1,UPS,0.8,21,whole,10,6.47,1741.9,TRUE,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D49-10C,2,1,UPS,0.8,49,whole,10,6.54,1796.4,TRUE,,,,,,,,,,,KEEP
MF3-0.8-Whole-D49-10C,3,2,UPS,0.8,49,whole,10,5.86,1832.5,TRUE,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D35-10C,2,2,UPS,1.2,35,whole,10,6.48,1834,TRUE,,,,,,,,,,,KEEP
MF4-0.8-Whole-D35-3C,4,1,UPS,0.8,35,whole,3,6.67,288.8,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D21-10C,4,2,UPS,1.2,21,whole,10,6.67,288.6,,,,,,,,,,,,KEEP
MF1-1.2-35-HTST-Whole-6.5,1,1,LS,1.2,35,whole,6.5,,288.2,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D28-6.5C,2,1,UPS,0.8,28,whole,6.5,6.72,287.6,,,,,,,,,,,,KEEP
MF-1-1.2-Whole-D0,1,1,LS,1.2,0,whole,3,6.58,287,,milkoscan,3.38,3.33,5.05,12.47,9.09,,,,,KEEP
MF-1-1.2-Whole-D0,1,1,LS,1.2,0,whole,6.5,6.58,287,,milkoscan,3.38,3.33,5.05,12.47,9.09,,,,,KEEP
MF-1-1.2-Whole-D0,1,1,LS,1.2,0,whole,10,6.58,287,,milkoscan,3.38,3.33,5.05,12.47,9.09,,,,,KEEP
MF4-1.2-Whole-D21-6.5C,4,2,UPS,1.2,21,whole,6.5,6.75,287,,,,,,,,,,,,KEEP
MF-3-1.2-Whole-D7-10C,3,1,UPS,1.2,7,whole,10,6.68,286.2,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D14-3C,2,2,UPS,1.2,14,whole,3,6.73,286.1,,,,,,,,,,,,KEEP
MF-3-1.2-Whole-D7-10C,3,1,UPS,1.2,7,whole,10,6.68,286.1,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D42-3C,2,2,UPS,1.2,42,whole,3,6.69,285.9,,,,,,,,,,,,KEEP
MF-3-1.2-Whole-D7-6.5C,3,1,UPS,1.2,7,whole,6.5,6.67,284.3,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D35-3C,4,1,UPS,0.8,35,whole,3,6.68,284.2,,,,,,,,,,,,KEEP
MF1-1.2-35-HTST-Whole-10,1,1,LS,1.2,35,whole,10,,283.1,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D7-6.5C,2,1,UPS,0.8,7,whole,6.5,6.77,283,,,,,,,,,,,,KEEP
MF-3-1.2-Whole-D0-na,3,1,UPS,1.2,0,whole,3,6.71,281.8,,,,,,,,,,,,KEEP
MF-3-1.2-Whole-D0-na,3,1,UPS,1.2,0,whole,6.5,6.71,281.8,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D49-10C,2,2,UPS,1.2,49,whole,10,6.52,1861.7,TRUE,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D14-10C,2,1,UPS,0.8,14,whole,10,6.53,1912.9,TRUE,,,,,,,,,,,KEEP
MF-3-1.2-Whole-D0-na,3,1,UPS,1.2,0,whole,10,6.71,281.8,,,,,,,,,,,,KEEP
MF-1-1.2-7-Whole-HTST-3,1,1,LS,1.2,7,whole,3,6.74,281.1,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D42-10C,2,1,UPS,0.8,42,whole,10,6.49,1922.3,TRUE,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D63-10C,2,1,UPS,0.8,63,whole,10,6.45,1935.8,TRUE,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-10C,3,2,UPS,0.8,56,whole,10,5.61,1941.8,TRUE,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-10C,4,1,UPS,0.8,63,whole,10,5.98,1941.8,TRUE,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D63-3C,2,1,UPS,0.8,63,whole,3,6.72,279.5,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D14-6.5C,2,2,UPS,1.2,14,whole,6.5,6.74,279.4,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D56-3C,4,2,UPS,1.2,56,whole,3,6.67,278.8,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D7-3C,2,2,UPS,1.2,7,whole,3,6.69,278.8,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D14-6.5C,2,2,UPS,1.2,14,whole,6.5,6.76,278.8,,,,,,,,,,,,KEEP
MF-1-1.2-7-Whole-HTST-10,1,1,LS,1.2,7,whole,10,6.7,278.6,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D0,2,1,UPS,0.8,0,whole,3,6.73,278.6,,milkoscan,3.15,3.09,4.48,11.54,8.28,,,,,KEEP
MF-2-0.8-Whole-D0,2,1,UPS,0.8,0,whole,6.5,6.73,278.6,,milkoscan,3.15,3.09,4.48,11.54,8.28,,,,,KEEP
MF-2-0.8-Whole-D0,2,1,UPS,0.8,0,whole,10,6.73,278.6,,milkoscan,3.15,3.09,4.48,11.54,8.28,,,,,KEEP
MF3-1.2-Whole-D21-6.5C,3,1,UPS,1.2,21,whole,6.5,6.7,278.6,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D7-6.5C,2,2,UPS,1.2,7,whole,6.5,6.73,277.1,,,,,,,,,,,,KEEP
MF-1-1.2-Whole-D0,1,1,LS,1.2,0,whole,3,6.59,276.9,,milkoscan,3.38,3.34,5.05,12.49,9.1,,,,,KEEP
MF-1-1.2-Whole-D0,1,1,LS,1.2,0,whole,6.5,6.59,276.9,,milkoscan,3.38,3.34,5.05,12.49,9.1,,,,,KEEP
MF-1-1.2-Whole-D0,1,1,LS,1.2,0,whole,10,6.59,276.9,,milkoscan,3.38,3.34,5.05,12.49,9.1,,,,,KEEP
MF4-1.2-Whole-D42-10C,4,2,UPS,1.2,42,whole,10,5.41,1951.8,TRUE,,,,,,,,,,,KEEP
MF3-0.8-Whole-D49-10C,3,2,UPS,0.8,49,whole,10,5.87,2029.5,TRUE,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D35-10C,2,1,UPS,0.8,35,whole,10,6.49,2071.3,TRUE,,,,,,,,,,,KEEP
MF4-1.2-Whole-D42-10C,4,2,UPS,1.2,42,whole,10,5.42,2182,TRUE,,,,,,,,,,,KEEP
MF-3-1.2-Whole-D7-6.5C,3,1,UPS,1.2,7,whole,6.5,6.67,276.8,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D49-10C,4,1,UPS,0.8,49,whole,10,6.02,275.5,,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-10C,3,2,UPS,0.8,56,whole,10,5.61,2186.5,TRUE,,,,,,,,,,,KEEP
MF4-0.8-Whole-D63-10C,4,1,UPS,0.8,63,whole,10,5.99,2186.5,TRUE,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D42-10C,2,1,UPS,0.8,42,whole,10,6.48,2264.9,TRUE,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D56-10C,2,1,UPS,0.8,56,whole,10,6.58,2763.3,TRUE,,,,,,,,,,,KEEP
MF4-1.2-Whole-D42-6.5C,4,2,UPS,1.2,42,whole,6.5,6.71,273,,,,,,,,,,,,KEEP
MF-2-0.8-Whole-D7-10C,2,1,UPS,0.8,7,whole,10,6.63,272.8,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D7-3C,4,2,UPS,1.2,7,whole,3,6.8,271.9,,,,,,,,,,,,KEEP
MF4-1.2-Whole-D42-6.5C,4,2,UPS,1.2,42,whole,6.5,6.72,268.9,,,,,,,,,,,,KEEP
MF-2-1.2-Whole-D35-3C,2,2,UPS,1.2,35,whole,3,6.82,268,,,,,,,,,,,,KEEP
MF-3-0.8-Whole-D0-na,3,2,UPS,0.8,0,whole,3,6.67,267.1,,,,,,,,,,,,KEEP
MF-3-0.8-Whole-D0-na,3,2,UPS,0.8,0,whole,6.5,6.67,267.1,,,,,,,,,,,,KEEP
